Table 1
No,Date,Num of comments on 30 posts,Score on 30 posts,Positive Sentiment,Negative Sentiment,P/N,Sentiment Score,Open,High,Low,Close,Volume,Market Cap,Bitcoin dominance
193,2018-02-10,2717,12240,58,49,1.183673469387755,9,"8,720.08","9,122.55","8,295.47","8,621.9","7,780,960,256","146,981,191,680",34.43
194,2018-02-11,3346,14880,52,10,5.2,42,"8,616.13","8,616.13","7,931.1","8,129.97","6,122,189,824","145,244,585,984",34.40
195,2018-02-12,3689,18999,142,57,2.491228070175439,85,"8,141.43","8,985.92","8,141.43","8,926.57","6,256,439,808","137,257,820,160",34.30
196,2018-02-13,3590,12820,57,19,3.0,38,"8,926.72","8,958.47","8,455.41","8,598.31","5,696,719,872","150,515,712,000",34.86
197,2018-02-14,2867,12643,56,13,4.3076923076923075,43,"8,599.92","9,518.54","8,599.92","9,494.63","7,909,819,904","145,023,090,688",34.83
198,2018-02-15,3230,23905,72,30,2.4,42,"9,488.32","10,234.8","9,395.58","10,166.4","9,062,540,288","160,025,198,592",34.76
199,2018-02-16,2309,11324,31,5,6.2,26,"10,135.7","10,324.1","9,824.82","10,233.9","7,296,159,744","170,960,158,720",35.75
200,2018-02-17,3615,34018,61,24,2.5416666666666665,37,"10,207.5","11,139.5","10,149.4","11,112.7","8,660,880,384","172,191,072,256",35.47
201,2018-02-18,2094,10060,106,39,2.717948717948718,67,"11,123.4","11,349.8","10,326","10,551.8","8,744,009,728","187,662,860,288",36.53
202,2018-02-19,2590,12682,69,21,3.2857142857142856,48,"10,552.6","11,273.8","10,513.2","11,225.3","7,652,089,856","178,054,987,776",36.99
203,2018-02-20,2870,12695,67,13,5.153846153846154,54,"11,231.8","11,958.5","11,231.8","11,403.7","9,926,540,288","189,535,830,016",37.69
204,2018-02-21,2177,12002,78,36,2.1666666666666665,42,"11,372.2","11,418.5","10,479.1","10,690.4","9,405,339,648","191,926,796,288",39.46
205,2018-02-22,2843,10488,49,14,3.5,35,"10,660.4","11,039.1","9,939.09","10,005","8,040,079,872","179,936,477,184",39.26
206,2018-02-23,2613,9980,48,14,3.4285714285714284,34,"9,937.07","10,487.3","9,734.56","10,301.1","7,739,500,032","167,745,568,768",39.14
207,2018-02-24,2518,23657,87,34,2.5588235294117645,53,"10,287.7","10,597.2","9,546.97","9,813.07","6,917,929,984","173,682,327,552",38.59
208,2018-02-25,2212,8464,43,22,1.9545454545454546,21,"9,796.42","9,923.22","9,407.06","9,664.73","5,706,939,904","165,406,720,000",38.36
209,2018-02-26,2473,15516,85,41,2.073170731707317,44,"9,669.43","10,475","9,501.73","10,366.7","7,287,690,240","163,283,419,136",37.94
210,2018-02-27,2865,9690,59,21,2.8095238095238093,38,"10,393.9","10,878.5","10,246.1","10,725.6","6,966,179,840","175,536,128,000",38.89
211,2018-02-28,3041,10552,21,13,1.6153846153846154,8,"10,687.2","11,089.8","10,393.1","10,397.9","6,936,189,952","180,509,966,336",39.45
212,2018-03-01,2526,9199,68,54,1.2592592592592593,14,"10,385","11,052.3","10,352.7","10,951","7,317,279,744","175,427,076,096",39.86
213,2018-03-02,1889,10379,71,14,5.071428571428571,57,"10,977.4","11,189","10,850.1","11,086.4","7,620,590,080","185,456,082,944",40.39
214,2018-03-03,2792,17734,100,32,3.125,68,"11,101.9","11,528.2","11,002.4","11,489.7","6,690,570,240","187,581,399,040",41.04
215,2018-03-04,1686,5919,69,28,2.4642857142857144,41,"11,497.4","11,512.6","11,136.1","11,512.6","6,084,149,760","194,289,254,400",41.93
216,2018-03-05,2624,9882,70,14,5.0,56,"11,532.4","11,704.1","11,443.9","11,573.3","6,468,539,904","194,902,605,824",41.42
